微博正文,发布时间,ip
观天下·巴以冲突|尬！美国搞“红海护航”应者寥寥O网页链接,2024/1/2 15:31,山东
#巴以冲突#黎巴嫩真主党发布了一段视频，标题是：“我们将用犹太复国主义者的头骨敲开天堂之门。”（来源:X原推特）L孤烟暮蝉的微博视频,2024/1/1 18:10,广东
根据美国政客新闻网的报道，美国政府正在为美国制定计划，以应对哈以冲突外溢，造成更大范围时间更长的地区冲突。在这次巴以冲突中，哈马斯成为反抗以色列的重要武装力量。外界对哈马斯的评价也呈两极分化，一方面认为哈马斯是恐怖组织，另一方面认为正是以色列的咄咄逼人，才造成今天哈马斯有源源不断的兵源。他们不是恐怖分子，而是无数个失去兄弟姐妹亲人的加沙普通人罢了。但不管这两种评价哪种是对的，最主要的还是这股武装力量正对以色列造成困扰。而如今美国情报部门正在想办法防御亲伊朗的伊拉克和叙利亚军队，同时还督促伊朗说服代理人减少袭击。另一方面还有敢于美国动手的胡塞武装，就在前几天胡塞武装还炸着美国一艘路过红海的商船，胡塞武装可不只是说说而已，而是真的动手，而且这次动手还是在美国下的最后通牒的情况下。正是基于如此复杂的环境，美国也不得不考虑在中东做些战争准备。#优质博文上热搜开放计划##胡塞武装#,2024/1/6 14:36,山东
观天下·巴以冲突|尬！美国搞“红海护航”应者寥寥O网页链接,2024/1/3 18:15,辽宁
以色列国内舆情开始崩塌！巴以冲突打了86天，以国内崩不住了，《以色列时报》报道，首都特拉维夫爆发大规模抗议，自10月7日开战以来首次。抗议者直至内塔尼亚胡政府、利库德集团，强烈反对入侵加沙，一些人呼吁举行新的选举，把现政府选下去。目前的入侵，让以色列全社会也承担很大代价，目前以军官方讣告已突破500人；而以色列记者摩西亚尔称，仅2个多月以军伤残人数已突破3000。对于一个不到1千万人口的小国而言，这种社会代价也难以承受。,2024/1/2 15:29,江苏
#巴以冲突#以色列国防军表示，在与加沙地带的战争中，大约17%的士兵死亡是意外事故。加沙行动区170名士兵中有29人死于所谓的友军误伤事故。170名士兵中，有18人因误认而被友军火力打死，其中包括空袭、坦克炮击和枪击。两名士兵被无意击中的枪击身亡。九名士兵在事故中丧生，包括武器意外走火、被装甲车碾压以及被控制爆破的弹片击中。数据显示，自地面行动开始以来，每周有两到六名士兵因友军误伤或事故而丧生。（x）,2024/1/1 18:04,吉林
也门大约有一百五十万人上街支持巴勒斯坦。其它新闻自己看吧！#巴以冲突##不负责任转发#,2024/1/6 14:33,上海
#微博新知##巴以局势观察##以军空袭致哈马斯领导人丧生#哈马斯副领导人遇刺是否会使本轮巴以冲突外溢？L李绍先观察的微博视频,2024/1/3 18:15,北京
芝加哥大学犹太复国主义校友因亲巴勒斯坦观点与学生对峙！#巴以冲突##醍醐军事#L醍醐正能量的微博视频,2024/1/5 16:39,河南
以色列《国土报》关于加沙地面战斗中友军误伤和意外事件的统计数据与军方的数据略有出入，他们统计出了30名因友军误伤而死亡的以色列军人（军方的数据是29日），其中19人死于双边射击，还有人死于坦克履带碾压。#巴以冲突#,2024/1/1 18:02,陕西
这可是以色列国土报，以色列主要报纸之一。每个中国人看到这样的报道该有什么样的反应？这就是在挑战我们的红线！来源：haaretz#极端组织宣称对伊朗爆炸袭击负责##伊朗爆炸事件死亡人数上升至103人##巴以冲突#,2024/1/6 14:18,北京
"英国媒体：伊朗支持胡塞武装的声明是世界油价上涨的原因截至上午9点06分，伦敦ICE商品交易所布伦特原油期货价格为每桶75,79美元。自去年12月18日以来，油价首次跌破76美元。昨天早上，石油价格大幅上涨，价格上涨了百分之二，达到78.77美元。英国《卫报》记者立即对此作出回应，并由此得出了具有深远意义的结论。英国媒体用伊朗声明支持胡塞武装来解释世界油价的短期上涨。几个西方国家要求德黑兰停止鼓励也门民兵在红海袭击船只，德黑兰对此予以拒绝。此外，他还派遣军舰前往该地区。这只是英国的解释，伊朗自己也没有说过支持胡塞武装。然后，在昨天进行的2024年第一个交易时段，布伦特原油价格上涨了1773美元，涨幅为2%。该出版物的记者认为，这种增长与对红海紧张局势中原材料供应中断的担忧有关，因为通往苏伊士运河的航线要经过红海。英国媒体还指出了导致油价上涨的另一个因素。CN是该产品最大的买家，对该产品的需求量很大。英国媒体的这些说法都是毫无根据的，因为这些因素并没有消失，油价再次下跌。从长期来看，油价不会上涨，只会下跌。自去年年初以来，这一降幅约为10%。（军事评论）#巴以冲突##胡塞武装多次袭击红海及附近水域目标#",2024/1/3 18:04,吉林
这几个国家太邪恶了，让殖人口中的文明世界战战兢兢寝食难安#俄乌局势新进展##巴以冲突##朝鲜向韩国西部海域发射200多发海岸炮#,2024/1/5 16:38,北京
#巴以冲突#美军轰沉胡塞3船歼10人白宫:不寻求扩大冲突也门胡塞武装30日在红海袭击一艘货船，美军出动直升机击沉其中3艘小船并歼灭至少10人。美国有线电视新闻网报道，面对外界对于中东地区紧张态势升级的疑虑，白宫31日强调：“并未寻求扩大冲突”。据报道，胡塞30日早晨乘船朝海运集团马士基旗下货船“马士基杭州号”开火并试图强行登船，美国海军艾森豪威尔号的直升机、格拉夫利号驱逐舰接获求救信号后迅速到场。当美军直升机通过口头警告来缓和局势时，胡塞小船突然直升机开火。出于自卫，美军直升机击沉了3艘敌船，造成10名胡塞分子毙命，并迫使第4艘船撤退。今次美军直升机击杀胡塞分子，是巴以来第一次，也是2023年初之后首次。美国一直以来避免直接攻击也门境内的胡塞武装，同样也避免在海上的事态升级。（CNN）,2024/1/1 17:50,吉林
巴以冲突局势有变，以色列释放新信号，有意从加沙撤出五个旅L武统号的微博视频,2024/1/4 16:36,广东
图穷匕见，以色列2名部长说出心里话，美国罕见谴责#巴以冲突L谷火平的微博视频,2024/1/5 16:38,北京
#巴以冲突#以军发言人：巴以冲突不会停止，预计战争持续2024整年巴以冲突已将近2个月，以军发言人哈加里表示，这场战争料将“持续到2024一整年”。美国广播公司报道，哈加里指以军正在调整加沙各区的作战方式，尽可能以最好的方式派遣部队执行任务，随着2024年的来临，为了完成战争目标必须展开长期作战，“我军对此做好了相应的准备”。他说，以军在加沙的部队将进行“智慧管理”，允许预备役官兵返家以协助经济提振，并让现役军人接受训练成为指挥官。哈加里表示，为了让军队能够忍受未来的漫漫长路，这些调整都是必要的。正当许多城市在跨年夜这天施放烟火庆祝之际，加沙仍持续遭受以军的空袭。当地官方通报，2023年最后一天又有35人死于以军攻击。以军继续在加沙中部和南部最大城市汗尤尼斯加大军事行动。当地医院人员表示，31日这天有35人罹难。而就在以色列迎来元旦不久，哈马斯也朝该以色列中、南部发射火箭炮，当地立刻响起空袭警报，目前未传出伤亡。（南洋商报）,2024/1/1 17:47,吉林
军事外交就是促进世界和平，世界和平指不发动战争和制止战争，对俄乌冲突的看法是，不能让隐患具备，而是要让世界和平中的欧洲和平能够保持一种长久的状态，对以巴冲突的态度是，这种是非观念处于一种纠正和更改状态的时候，需要对世界局势有一个清醒的认识，我认为巴勒斯坦需要能够安好，让巴勒斯坦人不能流离失所没有家园，对平民任何借口都不妥当，平民的安全和生死是这个世界的价值观，这也是世界的良知要支持，以色列需要安全可以理解，但这是一个长期的过程，整个中东的和平在于大家都平安！,2024/1/4 16:31,湖北
美国第二艘航母前往中东支援#巴以冲突##军事#L清新Xp的微博视频,2024/1/5 16:33,广东
过去24小时内加沙中部“100名巴勒斯坦人被杀”#巴以冲突#据天空新闻报道，以色列坦克在猛烈的空中和炮火下连夜深入加沙中部和南部地区。据称，战斗主要集中在布赖吉、努塞拉特和汗尤尼斯，并得到密集空袭的支持。加沙中部卫生官员称，过去24小时内，轰炸已造成加沙地带中部100名巴勒斯坦人死亡、150人受伤。L勤奋de班长的微博视频,2024/1/1 17:47,江苏
胡塞武装与美军发生激烈冲突，四艘小艇中的三艘被美军击沉，10人死亡或失踪。云中漫步艺术画廊#巴以冲突##胡塞武装#L云中漫步_原创诗画的微博视频,2024/1/2 15:14,广东
#哈佛大学校长抄袭#这事有意思在于，她是一名黑人女性，当上哈佛大学校长的时候就有很多美国保守派说她是靠政治正确当的，然而她没事，论文是很久之前的，如果不是因为巴以冲突——学生支持巴勒斯坦——学生“辱犹”——作为哈佛校长的她没有处罚学生，论文的事情不会扒出来，她估计继续当校长。而且论文的事情是犹太人扒的，抗议施压的也是犹太人。PS她叫Gay不代表她是同性恋，Gay这个姓氏不算太少见，NBA还有个RudyGay,2024/1/4 16:27,山东
以色列军队从加沙前线撤走被击伤的D9装甲推土机。#巴以冲突#L沙姆雄狮_EL的微博视频,2024/1/5 16:29,陕西
"以色列计划用外国工人永久取代所有巴勒斯坦劳工，旨在消除该国的安全威胁。以色列将从斯里兰卡引进25,500名工人，从中国引进20,000名工人，从印度引进17,000名工人，从泰国引进13,000名工人，从摩尔多瓦引进6,000名工人。#巴以冲突#",2024/1/1 17:47,英国
昨天说美国要打胡赛，现在说是以色列发布的假新闻，是美国怂了，还是以色列作假？这都无关紧要，重要的是，欧美对胡赛无可奈何，这合理吗？#巴以冲突##不负责任转发#,2024/1/2 15:11,上海
来点石锤:“我刚刚被毕业典礼赶出来了”坐标墨尔本#巴以冲突O网页链接西方没有正义只有利益，这个利益就是犹太人利益，犹太人永远是受害方，永远是正义方，有人胆敢说犹太人不对，就是违法就是恐怖份子，正义不是掌握在正义者手上而是掌握在掌权者手上。,2024/1/4 16:27,重庆
两周以来，每天都在刷巴以新闻。即使作为一个日常关注和报道国际新闻的人，看多了都感觉有些hold不住。在主要欧洲城市的街头，每周都有挺巴和挺以的游行。常常想说点什么，却又不知该说点什么。一个感受是，从俄乌到巴以，近两年来国际冲突的烈度和惨度都在急剧上升。单场轰炸/战役造成的伤亡人数在越变越多，冲突发生的频度、升级的速度在加剧，成为国际头条的“门槛”也在越垒越高，越来越血腥。就想到，也许从今往后，这种全球范围内各地此起彼伏、日益激烈的局部冲突，就是我们的新常态了。而我们的余生里，能期待的只是它不要滑向更大的深渊。,2024/1/5 16:20,荷兰
#巴以冲突##胡塞武装#今天有件事，有点意思了。就在美国与胡塞武装剑拔弩张，准备大打出手之际，美国福特号航母却跑了！美国方面给出的理由是，福特号先回母港休整，准备迎接下一场任务。实际上，“福特”号航母被紧急派到中东后，基本上啥都没干，也就是在地中海附近转悠，甚至都不太敢靠近海岸线，怕被伊朗的导弹攻击。O什么情况？被吹上天的福特号航母，突然跑路了,2024/1/3 18:01,河北
#巴以冲突##叙利亚#叙利亚军方表示，以色列袭击了大马士革郊区。据路透社报道，叙利亚国家通讯社报道称，以色列周二凌晨对大马士革市郊的一些地点进行了空袭。叙利亚军方表示，袭击是从戈兰高地方向发起的。以色列军方早些时候表示，在从叙利亚向以色列北部发动袭击后，他们已经袭击了叙利亚境内的一些地点。,2024/1/2 15:09,河南
#观点中国#【哈马斯二号人物遇袭身亡，将给中东局势带来哪些变数？】截至目前，本轮巴以冲突已导致至少2.16万人死亡，绝大多数为巴勒斯坦人，其中包括约60名哈马斯高级成员。但萨利赫·阿鲁里被杀事件尤显特殊。阿鲁里遇袭身亡，已在中东地区引发震动。这一事件是否会成为巴以冲突的拐点，又将给中东局势带来哪些变数？O哈马斯二号人物遇袭身亡，将给中东局势带来哪些变数？,2024/1/4 16:20,
【外交部：敦促巴以冲突当事方切实落实联合国安理会和联大有关决议】1月5日，外交部发言人汪文斌主持例行记者会。有记者提问，据报道，南非日前向联合国国际法院提起诉讼，指控以色列违反了联合国《防止及惩治灭绝种族罪公约》。中方对此有何评论？汪文斌表示，我们注意到有关的案件。此轮巴以冲突爆发以来，已造成加沙地区22000多人死亡，其中绝大多数是平民。迄今，每天仍有上百名加沙平民死亡。这一状况不应再持续下去了。中方反对任何违反国际法的做法，敦促冲突当事方，切实落实联合国安理会和联大有关决议，立即全面停火止战，停止对加沙地带民众的集体惩罚。（央视新闻客户端）,2024/1/5 16:20,
哈马斯领导人在黎巴嫩被暗杀标志着战争进入了一个新阶段中东观察家对昨天哈马斯领导人萨利赫·阿鲁里在黎巴嫩被暗杀的消息并不感到惊讶。阿鲁里不仅是哈马斯的高级官员，而且还是该组织与黎巴嫩真主党及其伊朗赞助人的联络小组的负责人。在去年10月7日哈马斯对以色列发动血腥袭击之前，他很可能就在以色列永久暗杀名单的首位。然而，在正在进行的以色列-哈马斯战争的爆炸性内容中，周二的暗杀标志着一场已经不确定的冲突进入了一个新的、高度不可预测的阶段。以色列官员针对阿鲁里遇刺的消息发表的含糊声明并没有消除人们广泛接受的观点，即以色列情报部门是这起谋杀案的幕后黑手。在外部情报机构摩萨德的领导下，以色列情报部门有着悠久的法外暗杀历史。以色列调查记者罗南·伯格曼在其影响深远的著作《崛起与杀戮先行》中详细讨论了这些暗杀事件的历史，这些暗杀事件发生在战后以色列建国之前。伯格曼的数据丰富的研究表明，以色列情报部门在其历史上实施了大约2700起法外暗杀，比任何西方国家都多。鉴于定点清除的历史如此丰富，阿鲁里在贝鲁特遇刺可谓意料之中，也毫不引人注目。事实上，以色列官员自10月7日以来就多次表示，哈马斯高级领导层将成为全球打击目标。在上个月泄露的录音中，以色列安全局局长罗南·巴尔向以色列议会成员宣布，哈马斯的高级领导人将成为“加沙、约旦河西岸、黎巴嫩、土耳其、卡塔尔等地”的目标。当谈话录音被泄露时，没有人认为巴尔这位经验丰富的情报官员是在虚张声势。事实上，摩萨德的行动能力和影响力是中东地区所有人都清楚的。阿鲁里在贝鲁特南部的达希耶郊区被暗杀具有重要意义。达希耶是真主党无可争议的据点，受到什叶派激进组织的严格控制，该组织以确保居民安全而自豪。昨天在真主党中心发生的暗杀事件充分展示了摩萨德在特种作战方面的能力。（intelnews）#巴以冲突##以军空袭致哈马斯领导人丧生#,2024/1/3 18:01,吉林
今晚在抖x直播，继续直播专题：兵器来了—坦克今昔！2日周一19：00，锵锵一人鸣抖x直播，兵器来了！今晚话题：美国名将—麦克阿瑟！可扫图片中的帐号二维码进入直播间。欢迎收看欢迎互动！#巴以冲突#,2024/1/2 15:08,四川
在以色列无差别轰炸中，受伤的加沙儿童！#巴以冲突#,2024/1/4 16:17,河南
"本轮巴以冲突已致加沙超2.24万人死亡，美国亲巴勒斯坦民众向布林肯的座驾抛洒红油漆，抗议者高喊""你真无耻""""战犯""等口号。L张凯华微博的微博视频",2024/1/5 16:18,河北
胡塞武装支持者在也门首都集会声援巴勒斯坦。#巴以冲突#LWS偏执狂的微博视频,2024/1/6 13:56,重庆
@宋忠平解读俄乌冲突持久化，巴以是否演变成中东战争关键在美，南海值得关注L宋忠平的微博视频,2024/1/3 18:01,广西
苦难的加沙民众，希望2024你们站起来，打败以色列侵略者！#走进巴以冲突#加沙民众：2023年充满了苦难，我们住在街上、死在街上，孩子流落街头……#品茶说酒聊军事#L品茶说酒的微博视频,2024/1/2 15:05,贵州
谁才是中东真正的狠角色？除了胡塞武装，还能有谁？#走进巴以冲突#胡塞武装VS美国：穷国武装挑衅军事强国，谁敢横刀立马？美国和以色列的战略布局：避免红海冲突外溢的关键！网友：这就是典型，光脚不怕穿鞋的！#反战不反美心里必有鬼#品茶说酒的微博视频O网页链接,2024/1/4 16:17,贵州
以色列打三个月搞不定，还碰瓷伊朗，现在白头山发难，你们让不让球长活了？#俄乌局势新进展##巴以冲突##朝鲜向韩国西部海域发射200多发海岸炮#,2024/1/5 16:17,北京
#巴以冲突#联合国人道主义援助负责人表示，加沙现在是“死亡和绝望的地方”联合国负责人道主义事务的副秘书长马丁·格里菲思早些时候表示，加沙战争必须停止，因为“数万人，主要是妇女和儿童”在巴勒斯坦伤亡。以下是他强有力的声明的关键摘录：“自10月7日可怕的袭击事件发生三个月以来，加沙已经成为一个死亡和绝望的地方。”“数万人死亡或受伤，其中大部分是妇女和儿童。”“气温骤降，一家人露宿街头。”“为了安全，平民被告知要重新安置的地区遭到轰炸。”“医疗设施正受到无情的攻击。”“为数不多的部分正常运转的医院挤满了创伤病例，严重缺乏物资，绝望的人们寻求安全。”“一场公共卫生灾难正在上演。”“随着下水道的溢流，传染病正在过度拥挤的避难所中传播。”“每天大约有180名巴勒斯坦妇女在这场混乱中分娩。”“人们面临着有史以来最高水平的粮食不安全。”“饥荒迫在眉睫。”“加沙已经变得无法居住。在全世界的注视下，加沙人民的生存受到威胁。”“我们继续要求立即结束战争，不仅是为了加沙人民及其受威胁的邻国，也是为了子孙后代，他们永远不会忘记这90天的地狱和对人类最基本规范的违背和攻击。”“这场战争本不应该开始。但很长时间过去了，它却仍未结束。”,2024/1/6 13:52,河南
2024预测:美国霸权逆转，一切从这开始！2024年的国际局势仍然会是精彩的一年，开年的国际地缘政治局势，承袭之前的俄乌冲突和巴以冲突，红海和黑海两地的纷乱，是全球已知的地缘政治风险，全球大国格局是否会因为此两地的冲突出现改变，或是势力的消长？昨天是2024年世界局势推测的第二篇，今天是第三篇。我们将探讨俄乌局势在2024年的演变，以及对美国世界霸权的冲击。俄乌冲突从爆发至今将近两年，由于乌克兰在去年的夏季大反击毫无成效，似乎让人觉得冲突已经接近尾声，乌克兰无力反击，俄罗斯全然掌控了战场上的节奏。对于此种局势，拜登政府一方面受制于国内共和党的掣肘，二方面也是因为乌军反击无力，至今为止是毫无办法。更惨的是，去年10月爆发的巴以冲突让美国一下子转向，几乎将所有的资源从乌克兰转向以色列。由于美国态度的改变，许多欧洲国家也因此减少对乌克兰的援助，乌克兰看来大势已去。不过，拜登政府肯定不会甘心于此，因为乌克兰的局势涉及拜登的政绩，影响他年底的选情。另外，共和党在众议院发起对拜登的弹劾调查于去年12月通过，弹劾的内容涉及拜登的儿子在外国商业交易中的不当获益。而所谓的外国商业交易，矛头直指在乌克兰等地的商业活动。因此，无论从什么角度来看，拜登都不能放弃乌克兰，一定要想尽办法挽救乌克兰的颓势，至少得要维持乌克兰的局势不至于走得太难看，不至于全盘崩溃。因为一旦乌克兰败战，不论是民主党、拜登个人的施政成绩和选情，以及拜登家族都会遭受重大影响。有鉴于此，虽然美国没有实质地参战，却等同于参战一般。2024年的乌克兰局势牵动拜登的连任之路，也牵动美国的世界霸权地位。1俄乌局势的变数据美国媒体于几天前的报道，西方国家承诺提供给乌克兰的首批F-16战机可能已经抵达乌克兰。而英国国防部也于12月26日宣布，首批乌军飞行员已经完成由英国空军制定的F-16战机飞行培训课程。美国F-16战机的确是性能优异的战机，尤其经过多次改良和升级后，在信息化和电子雷达方面都有显著的性能提升，接近或达到四代半战机的性能。目前并不清楚北约国家援助乌克兰的F-16战机是属于哪一个型号，也不清楚美国和北约是否会为乌克兰，提供更进一步的预警机、电子战机和卫星侦察体系的支持。总之，这为今后的俄乌局势投下一个变数。也因此，今年的俄乌局势未必会如一些人设想的，可能于今年，甚至于前半年就结束。有人认为，俄罗斯接下来将会因此吃大亏。也有人认为，乌克兰获得少量的F-16战机，不至于改变目前的局势。到底今年乌克兰局势的发展会如何？2美俄欧三方的公约数虽然考虑到可能的变数，我们认为俄乌局势的发展仍然有一些轨迹可循，可以从中找出可能的发展脉络。不论是美俄还是欧洲，都不会希望乌克兰的局势再度升级，再度紧绷。因为如果局势再度紧张起来，美俄欧三方都需要为此投入更大的资源，大家都得要消耗在这里。其实，美俄欧三方都已经耗在这里，而且耗了将近两年。然而，没有必要再度投入大量的资源，耗死在这里。目前只有泽连斯基想要积极地打，因为他需要显现出一些战功，好持续向美国和欧洲国家讨要援助经费。对俄罗斯来说，如果今年底的美国总统大选由特朗普胜出，由于特朗普和共和党人的对外战略和拜登的路线不同，美国新政府有可能减缓支援乌克兰的力度，这种情形对俄罗斯有利。如果特朗普当选，也有利于普京同特朗普打交道。除非普京想要趁这时机打下更多的领土，控制更多的区域，但这难度相当大，因为只有不到一年的时间。因此，美俄欧不在乌克兰投入更大的资源，不引起更大规模的冲突，可能是三方面都可以接受，也愿意接受的局面。3等待美国新总统收拾残局然而，要控制一个稳定的局面也不容易，除了可能的变数外，也需要彼此有个默契。只不过战场局势的默契，除了表面上的沟通外，还需要实际的试验才能得知，因为一个突如其来的变数都可能会打破彼此既有的默契。以目前的局势推断，美俄欧乌四方都不能有太大的动作，俄罗斯不能大举进攻，进一步抢占乌克兰大片土地。俄罗斯在乌克兰战场上的扩张，只能局限在乌东地区。而乌克兰对俄罗斯本土的袭击也不能够太频繁。每一回乌克兰袭击俄罗斯本土，不论是临近莫斯科地区还是克里米亚，都会遭受俄罗斯的空袭和报复，这也是必然的。但是，乌克兰发动袭击的次数不能够太过频繁，只能停留在宣示作用，也就是停留在泽连斯基想要以此证明，乌克兰还是可以打，乌军还是有存在的价值，美国和北约必须继续援助乌克兰。基于此，拜登政府的颜面可以暂时保留，不至于整个颜面扫地。而欧洲国家也乐得省钱，不必再花大把经费援助，乌克兰。只要大家不太过分，那就是各取所需。然后等待美国大选结束，等待新的美国领导人来“收拾残局”。为什么这样说呢？拜登不太可能在其任内结束前，和俄罗斯谈判。因为以现今乌克兰的局势，在谈判上肯定吃亏，这等于是让拜登“承认”败局。拜登会愿意承认败局吗？拜登一旦承认败局，那就不用选了。而选败的结果，也等于是为乌克兰战败定了性，拜登此后肯定是留个骂名。只要拜登不在其任内承认，美国在乌克兰失败了，拜登就有借口推托，把责任推出去。好比说，如果拜登败选，新总统由共和党籍的参选人接任，新总统肯定把责任推到前任拜登的身上。拜登在这时候可以反驳，在我任内没事啊，乌克兰打得好好的，是接任的总统要和俄罗斯谈判，这不关我事。反正，民主政治总是把责任推出去。因此，除非是乌克兰打赢了，拜登不太可能在其任内进行谈判，结束战争。可以把这样的局势称之为“僵局”，也可以称为“局势均衡”。因此，那些于2022年10月之后，预测俄乌冲突会于2023年结束的，失望了。对于那些预测冲突将会在今年前半年结束的，恐怕也会失望。还记得我们在俄乌冲突后一个月的说法？《普京要打多久？谁在拖延俄乌战争》。虽然美西方那时候极力宣传，俄罗斯国力耗损，撑不下去了。但我们认为，俄罗斯要打个一年半载的没问题，战争至少会持续到第二年。目前的局势是，俄乌冲突很有可能会继续拖延下去，然后等待明年美国新总统上任后，双方阵营尝试谈判，尝试如何结束冲突。到了那时候，我们再来做一番新的推演。当然，如果俄乌双方出现一面倒的情形，结果可能会改观。4美国霸权由盛而衰的转捩点然而，重点不只是今年可能的走势，而是此一冲突对美国的影响太大了。后世史家有可能会说。这场冲突影响了美国的霸权地位，是美国霸权由盛而衰的转捩点。2022年2月，我们有一期的内容《一周对策|乌克兰将会是美国的滑铁卢》。这期文章是在俄冲突爆发的11天前推出。当时，双方已经处于紧张状态2个多月了。该期内容的重点是，乌克兰的紧张局势长期下去，只要乌克兰打不赢，美国就是输。而且，有可能成为美国在大国博弈中的滑铁卢。以今天的局势观之，美国虽然没有直接参战，却等于是参战了，而且陷入了战争的泥淖。美国将会得不偿失，这场冲突将成为美国霸权之路的滑铁卢。原因？我们先看看美国这几年在大国博弈的情形。特朗普于2018年发动对中国的贸易战。紧接着，特朗普又对中国进行各种的打压和制裁，除了直接的军事冲突外，全方位地掀起了对中国的争斗。然而，一直到特朗普于2021年下台的时候，美国对中国的争斗虽然没有取胜，但还是占据了上风，至少是在芯片封锁上。拜登于2021年1月上任，立马派出里根号航母进驻南海，而且在南海待了一段较长时期。期间中美两国于南海发生电磁战对抗。美国后来又加派航母，向即将举行冬季奥运的中国示威。拜登这是刻意向中国显示，他的政府不一样，比特朗普时期要强，更有办法，中国必须要屈服。拜登之所以如此，正是因为他采取了联合盟国，一起对付中国的战略模式。拜登自以为胸有成竹。拜登接下来的动作果然非常强势，我们就不一一举例了。只不过，拜登太急于表现，太急于显示他与众不同，结果反而欲速则不达。整个2021年期间，拜登政府的动作不断，每隔一两个月就会有大动作。2021年3月18日，中美两国高层于阿拉斯加州举行战略会谈，掀开了两国对峙的高潮。结果是，中国根本不吃美国那一套。但不要以为美国方面只是说一说，吓人的。2021年12月，俄乌局势出现紧张，拜登指控普京将出兵乌克兰。这就是美国在当时的布局，要以实力和谋略战胜中国，迫使中国屈服。只是，人算不如天算啊！美国有谋略，难道中国没有吗？普京没有吗？中美俄三大国斗智斗力的结果，从乌克兰冲突一役正式开展。拜登本以为乌克兰冲突的计划是完美、天衣无缝，是一石多鸟的谋划。一，收割欧洲。这方面我们在2021年12月末谈过。请参考《美国布局乌克兰陷阱套上中俄，正要收割欧洲》。二，破坏俄罗斯和欧洲整合的可能性。三，先收拾俄罗斯，再来对付中国。由此，就可以避开中俄联合，导致对美国不利的结果。也因此，拜登政府根本不把美国前国务卿基辛格的中美俄大三边理论放在眼里。拜登政府的思维是，如果俄罗斯先倒下了，哪来的中俄联合？四，配合美联储加息、缩表的政策，一方面对抗美国国内的通货膨胀，二方面又可以进行收割。如此，美国就可以把从2009年以来，为了应对金融危机而进行的多次量化宽松政策，完美地收官。美国一切的计划看起来是那么“完美”！然而，拜登政府错算了，低估了俄罗斯的实力，更是低估了中国在背后的谋略。拜登政府的“超强布局”，对俄罗斯空前严厉的制裁，达不到效果。于是，我们看到了：一，美国得罪了中东地区阿拉伯国家，得罪这些产油国。沙特等OPEC+国家，不再听从美国的号令，增产石油，帮助美国降低通货膨胀。二，俄罗斯积极游说美西方外的国家，进行去美元化。三，上合组织扩员，金砖扩员。提一下，埃及、埃塞俄比亚、伊朗、沙特和阿联酋五国于昨日1月1日正式加入金砖组织。四，我们也看到巴以冲突后，美国陷入孤立的局面。美国要组织多国联合海军舰队，为行经红海的船只护航，美国的盟国却兴趣缺缺。这些还只是目前的现象。一旦乌克兰承认战败，或是俄乌冲突就这么长久持续下去，美国在全球的领导威信损失更大，会有更多的国家选择不跟从美国。而美国的盟国，其意志也会动摇，会失去对美国的信心。当美国之前信誓旦旦地表示，会支持乌克兰打败侵略者，然而最终还是放弃了，或是无能为力，美国的盟国、盟友还敢相信美国吗？看看这一次美国组织的“繁荣卫士”行动，五眼联盟中的加拿大、澳大利亚和新西兰都不愿意派遣军舰参加，可想而知，如果美国放弃乌克兰，或承认在乌克兰的行动中落败，盟国会怎么想？还会如之前跟随美国吗？《孙子兵法》开篇：“兵者，国之大事，死生之地，存亡之道，不可不察也。”俄乌冲突的规模在二次大战后少有，然而，美方却认为能够在此战役中斗垮俄罗斯，收割欧洲，再来对付中国？然后一石四鸟地解决自己的通胀危机？美方在2021年3月18日所认为的以实力地位出发，再加上超高的谋略，定然可以达成目标。看来，这可能会成为笑话。美方算得太完美了，以至于，这有可能成为美国霸权之路的“滑铁卢”。5结论拜登当初自信满满地上台，原以为可以有一番作为。拜登政府原本轻看特朗普的美国优先政策，认为特朗普不讲谋略，得罪了盟国。因此，拜登团队认为，只要联合盟国必然可以战胜中国。拜登团队太急躁了，也太过自信于谋略，以至于美国现今的处境是越走越窄。而这一切的转捩点，就是从美方对俄乌冲突的大动作开始。现在，拜登只能够把俄乌的问题留给下一任总统。然而，既然走入了转折点，就算是新总统上任，也难以扭转局势。,2024/1/3 18:00,上海
国际舆论焦点并不应该聚焦于伊朗，而应放在解决巴以冲突上，聚焦于敦促以色列早日停止对巴勒斯坦的军事行动，如果一味地在谁是哈马斯与胡塞武装的幕后支持者这一问题上钻牛角尖，对当前巴以冲突的解决以及红海通道的安全并不能提供任何实质性的帮助。O巴以冲突持续加剧红海紧张局势，全球贸易恐受影响,2024/1/2 15:04,上海
#量化对冲基金#中金：建议在2024年战略上维持超配黄金1月4日讯，中金研报称，近期巴以冲突与美联储鸽派转向为黄金贡献了较大涨幅，市场对短期因素的计价可能已经相对充分，叠加近期红海航运问题推升全球运价，或加大美国通胀波动，因此战术层面上我们不排除黄金短期回调的可能性。根据我们对历史上美联储降息前后资产走势的复盘显示，在经济中性情形下，美联储停止加息后至开始降息前，黄金的波动相对其他资产可能较大，但并不逆风，降息开始后，黄金在6个月维度上胜率和收益率明显优于股票、商品等资产，因此我们建议在2024年战略上维持超配黄金，同时结合具体点位与经济数据灵活调整仓位。,2024/1/4 16:09,广东
